table,owner,status,write_contract
menu_item_recipes,inventory,active,inventory::api-or-internal-owner
menu_items,pos,active,pos::api-or-internal-owner
mobile_money_disbursements,payment,active,payment::api-or-internal-owner
module_access_matrix,usermanagement,active,usermanagement::api-or-internal-owner
module_catalog,shared,active,shared::api-or-internal-owner
module_dependencies,shared,active,shared::api-or-internal-owner
night_audit_close_snapshots,nightaudit,active,nightaudit::api-or-internal-owner
night_audit_issues,nightaudit,active,nightaudit::api-or-internal-owner
night_audit_runs,nightaudit,active,nightaudit::api-or-internal-owner
notifications,communication,active,communication::api-or-internal-owner
operational_sessions,usermanagement,active,usermanagement::api-or-internal-owner
organization_unit_properties,property,active,property::api-or-internal-owner
organization_units,property,active,property::api-or-internal-owner
ota_room_type_mappings,deferred,dormant,no-runtime-writes
outbox_events,reliability,active,reliability::api-or-internal-owner
outlets,pos,active,pos::api-or-internal-owner
paired_devices,usermanagement,active,usermanagement::api-or-internal-owner
payment_provider_accounts,payment,active,payment::api-or-internal-owner
payment_providers,payment,active,payment::api-or-internal-owner
payment_reconciliation_items,payment,active,payment::api-or-internal-owner
payment_reconciliations,payment,active,payment::api-or-internal-owner
payment_transactions,payment,active,payment::api-or-internal-owner
payment_webhook_events,payment,active,payment::api-or-internal-owner
payroll_records,deferred,dormant,no-runtime-writes
payroll_runs,deferred,dormant,no-runtime-writes
peak_billing_lifecycle_events,platformbilling,active,platformbilling::api-or-internal-owner
peak_module_activations,platformbilling,active,platformbilling::api-or-internal-owner
peak_payment_attempts,platformbilling,active,platformbilling::api-or-internal-owner
peak_payment_method_capabilities,platformbilling,active,platformbilling::api-or-internal-owner
peak_product_entitlements,platformbilling,active,platformbilling::api-or-internal-owner
peak_product_grants,platformbilling,active,platformbilling::api-or-internal-owner
peak_product_prices,platformbilling,active,platformbilling::api-or-internal-owner
peak_products,platformbilling,active,platformbilling::api-or-internal-owner
peak_provider_events,platformbilling,active,platformbilling::api-or-internal-owner
peak_purchase_lines,platformbilling,active,platformbilling::api-or-internal-owner
peak_purchases,platformbilling,active,platformbilling::api-or-internal-owner
peak_receipts,platformbilling,active,platformbilling::api-or-internal-owner
peak_reconciliation_resolutions,platformbilling,active,platformbilling::api-or-internal-owner
peak_reconciliation_state,platformbilling,active,platformbilling::api-or-internal-owner
peak_renewal_offers,platformbilling,active,platformbilling::api-or-internal-owner
peak_restriction_allowances,platformbilling,active,platformbilling::api-or-internal-owner
permission_catalog,usermanagement,active,usermanagement::api-or-internal-owner
permissions,usermanagement,active,usermanagement::api-or-internal-owner
plan_entitlements,tenantmanagement,active,tenantmanagement::api-or-internal-owner
plans,tenantmanagement,active,tenantmanagement::api-or-internal-owner
platform_alerts,platformgovernance,active,platformgovernance::api-or-internal-owner
platform_audit_logs,audit,active,audit::api-or-internal-owner
platform_break_glass_access,usermanagement,active,usermanagement::api-or-internal-owner
platform_break_glass_approvals,usermanagement,active,usermanagement::api-or-internal-owner
platform_incidents,platformgovernance,active,platformgovernance::api-or-internal-owner
platform_job_runs,platformgovernance,active,platformgovernance::api-or-internal-owner
platform_jobs,platformgovernance,active,platformgovernance::api-or-internal-owner
platform_permissions,usermanagement,active,usermanagement::api-or-internal-owner
platform_privileged_access_outcomes,usermanagement,active,usermanagement::api-or-internal-owner
platform_privileged_access_usage,usermanagement,active,usermanagement::api-or-internal-owner
platform_release_assignments,platformgovernance,active,platformgovernance::api-or-internal-owner
platform_releases,platformgovernance,active,platformgovernance::api-or-internal-owner
platform_role_permissions,usermanagement,active,usermanagement::api-or-internal-owner
platform_roles,usermanagement,active,usermanagement::api-or-internal-owner
platform_root_appointment_approvals,usermanagement,active,usermanagement::api-or-internal-owner
platform_root_appointment_requests,usermanagement,active,usermanagement::api-or-internal-owner
platform_services,platformgovernance,active,platformgovernance::api-or-internal-owner
platform_sessions,usermanagement,active,usermanagement::api-or-internal-owner
platform_user_roles,usermanagement,active,usermanagement::api-or-internal-owner
platform_users,usermanagement,active,usermanagement::api-or-internal-owner
portfolio_config_assignments,property,active,property::api-or-internal-owner
portfolio_config_revisions,property,active,property::api-or-internal-owner
portfolio_config_templates,property,active,property::api-or-internal-owner
pos_item_void_dispositions,pos,active,pos::api-or-internal-owner
pos_order_items,pos,active,pos::api-or-internal-owner
pos_orders,pos,active,pos::api-or-internal-owner
pos_printer_routes,pos,active,pos::api-or-internal-owner
pos_recipe_consumption_snapshots,pos,active,pos::api-or-internal-owner
pos_sessions,pos,active,pos::api-or-internal-owner
pos_terminals,pos,active,pos::api-or-internal-owner
pricing_rules,reservations,active,reservations::api-or-internal-owner
privileged_operation_policies,usermanagement,active,usermanagement::api-or-internal-owner
promo_codes,deferred,dormant,no-runtime-writes
properties,property,active,property::api-or-internal-owner
property_billing_settings,billing,active,billing::api-or-internal-owner
property_frontdesk_settings,frontdesk,active,frontdesk::api-or-internal-owner
property_housekeeping_settings,housekeeping,active,housekeeping::api-or-internal-owner
property_module_configs,property,active,property::api-or-internal-owner
property_modules,property,active,property::api-or-internal-owner
property_onboarding_states,property,active,property::api-or-internal-owner
property_onboarding_steps,property,active,property::api-or-internal-owner
property_pos_settings,pos,active,pos::api-or-internal-owner
property_reservation_settings,reservations,active,reservations::api-or-internal-owner
purchase_order_approvals,procurement,active,procurement::api-or-internal-owner
purchase_order_items,procurement,active,procurement::api-or-internal-owner
purchase_orders,procurement,active,procurement::api-or-internal-owner
purchase_receipt_lines,procurement,active,procurement::api-or-internal-owner
purchase_receipts,procurement,active,procurement::api-or-internal-owner
rate_plan_prices,reservations,active,reservations::api-or-internal-owner
rate_plans,reservations,active,reservations::api-or-internal-owner
rate_restrictions,reservations,active,reservations::api-or-internal-owner
realtime_event_journal,realtime,active,realtime::api-or-internal-owner
refresh_tokens,usermanagement,active,usermanagement::api-or-internal-owner
report_artifacts,reporting,active,reporting::api-or-internal-owner
report_catalog,reporting,active,reporting::api-or-internal-owner
report_deliveries,reporting,active,reporting::api-or-internal-owner
report_delivery_attempts,reporting,active,reporting::api-or-internal-owner
report_runs,reporting,active,reporting::api-or-internal-owner
report_subscription_recipients,reporting,active,reporting::api-or-internal-owner
report_subscriptions,reporting,active,reporting::api-or-internal-owner
reporting_retention_policies,reporting,active,reporting::api-or-internal-owner
reservation_deposits,reservations,active,reservations::api-or-internal-owner
reservation_guests,reservations,active,reservations::api-or-internal-owner
reservation_notes,reservations,active,reservations::api-or-internal-owner
reservation_policy_snapshots,reservations,active,reservations::api-or-internal-owner
reservation_room_nights,reservations,active,reservations::api-or-internal-owner
reservation_rooms,reservations,active,reservations::api-or-internal-owner
reservations,reservations,active,reservations::api-or-internal-owner
revenue_centers,property,active,property::api-or-internal-owner
role_permissions,usermanagement,active,usermanagement::api-or-internal-owner
roles,usermanagement,active,usermanagement::api-or-internal-owner
room_blocks,maintenance,active,maintenance::api-or-internal-owner
room_moves,frontdesk,active,frontdesk::api-or-internal-owner
room_state_transitions,property,active,property::api-or-internal-owner
room_status_log,property,active,property::api-or-internal-owner
room_types,property,active,property::api-or-internal-owner
rooms,property,active,property::api-or-internal-owner
sales_activities,deferred,dormant,no-runtime-writes
sales_leads,deferred,dormant,no-runtime-writes
schema_version_history,shared,active,shared::api-or-internal-owner
service_health_checks,platformgovernance,active,platformgovernance::api-or-internal-owner
shift_handovers,frontdesk,active,frontdesk::api-or-internal-owner
shift_templates,deferred,dormant,no-runtime-writes
staff_activation_secrets,usermanagement,active,usermanagement::api-or-internal-owner
staff_credentials,usermanagement,active,usermanagement::api-or-internal-owner
staff_rosters,deferred,dormant,no-runtime-writes
stays,frontdesk,active,frontdesk::api-or-internal-owner
stock_levels,inventory,active,inventory::api-or-internal-owner
stock_movements,inventory,active,inventory::api-or-internal-owner
suppliers,procurement,active,procurement::api-or-internal-owner
support_ticket_events,platformgovernance,active,platformgovernance::api-or-internal-owner
support_ticket_notes,platformgovernance,active,platformgovernance::api-or-internal-owner
support_tickets,platformgovernance,active,platformgovernance::api-or-internal-owner
tax_jurisdictions,property,active,property::api-or-internal-owner
tax_rates,property,active,property::api-or-internal-owner
tax_report_lines,deferred,dormant,no-runtime-writes
tax_report_runs,deferred,dormant,no-runtime-writes
tenant_configs,tenantmanagement,active,tenantmanagement::api-or-internal-owner
tenant_contact_roles,communication,active,communication::api-or-internal-owner
tenant_contacts,communication,active,communication::api-or-internal-owner
tenant_control_states,tenantmanagement,active,tenantmanagement::api-or-internal-owner
tenant_entitlement_overrides,tenantmanagement,active,tenantmanagement::api-or-internal-owner
tenant_identity_connections,tenantmanagement,active,tenantmanagement::api-or-internal-owner
tenant_legal_holds,tenantmanagement,active,tenantmanagement::api-or-internal-owner
tenant_lifecycle_events,tenantmanagement,active,tenantmanagement::api-or-internal-owner
tenant_lifecycle_logs,tenantmanagement,active,tenantmanagement::api-or-internal-owner
tenant_module_configs,tenantmanagement,active,tenantmanagement::api-or-internal-owner
tenant_modules,tenantmanagement,active,tenantmanagement::api-or-internal-owner
tenant_privacy_requests,tenantmanagement,active,tenantmanagement::api-or-internal-owner
tenant_profiles,tenantmanagement,active,tenantmanagement::api-or-internal-owner
tenant_role_permissions,usermanagement,active,usermanagement::api-or-internal-owner
tenant_roles,usermanagement,active,usermanagement::api-or-internal-owner
tenant_subscriptions,tenantmanagement,active,tenantmanagement::api-or-internal-owner
tenant_usage_snapshots,tenantmanagement,active,tenantmanagement::api-or-internal-owner
tenant_user_invitations,usermanagement,active,usermanagement::api-or-internal-owner
tenant_verification_cases,tenantmanagement,active,tenantmanagement::api-or-internal-owner
tenant_verification_documents,tenantmanagement,active,tenantmanagement::api-or-internal-owner
tenant_workflow_steps,tenantmanagement,active,tenantmanagement::api-or-internal-owner
tenant_workflows,tenantmanagement,active,tenantmanagement::api-or-internal-owner
tenants,tenantmanagement,active,tenantmanagement::api-or-internal-owner
translations,shared,active,shared::api-or-internal-owner
unpaid_checkout_overrides,frontdesk,active,frontdesk::api-or-internal-owner
user_property_roles,usermanagement,active,usermanagement::api-or-internal-owner
user_tenant_roles,usermanagement,active,usermanagement::api-or-internal-owner
users,usermanagement,active,usermanagement::api-or-internal-owner
work_orders,maintenance,active,maintenance::api-or-internal-owner
worker_runtime_heartbeats,reliability,active,reliability::api-or-internal-owner
workflow_catalog,shared,active,shared::api-or-internal-owner
workflow_steps,shared,active,shared::api-or-internal-owner
